,lat,lon,name,country,temp_max,temp_min,clouds,visibility,wind,humidity
140,12.3536,-4.7761,Yorosso,ML,81.16,81.16,53,10000,1.52,10
141,-3.8004,102.2655,Bengkulu,ID,84.45,84.45,28,10000,5.5,66
142,53.9939,84.7431,Zalesovo,RU,41.45,41.45,11,10000,7.36,62
143,43.5196,-114.3153,Hailey,US,42.8,42.8,1,10000,20.71,31
144,41.3712,-73.414,Bethel,US,55.99,54.0,100,10000,3.94,92
145,5.4033,125.4636,Sarangani,PH,83.48,83.48,99,10000,5.64,70
146,-10.0681,-78.1522,Huarmey,PE,69.76,69.76,100,10000,6.46,87
147,21.3469,-158.0858,Makakilo City,US,78.8,77.0,90,10000,10.36,41
148,37.1041,-113.5841,Saint George,US,75.0,71.01,1,10000,3.44,10
149,28.6585,-17.9182,Los Llanos de Aridane,ES,64.4,57.0,0,10000,6.91,72
150,-46.6,168.3333,Bluff,NZ,57.99,57.99,100,10000,8.99,86
151,45.8208,44.6472,Iki-Burul,RU,44.6,44.01,91,3900,4.47,93
152,29.9697,40.2064,Sakakah,SA,50.0,50.0,0,10000,9.22,46
153,-46.2817,169.8464,Kaitangata,NZ,63.0,63.0,99,10000,4.0,84
154,70.9821,25.9704,Honningsvåg,NO,33.96,33.96,100,113,13.91,96
155,49.8689,-99.3602,Carberry,CA,50.0,50.0,40,10000,11.5,32
156,49.5583,30.4926,Tarashcha,UA,38.66,38.66,0,10000,4.05,64
157,-34.4833,-54.3333,Rocha,UY,68.07,68.07,100,248,5.86,99
158,-28.0,153.4333,Gold Coast,AU,82.99,80.6,62,10000,8.05,39
159,-16.3667,-58.4,San Matías,BO,74.01,74.01,36,10000,4.59,88
160,9.5334,31.6605,Malakal,SS,82.18,82.18,97,10000,1.36,15
161,43.5583,128.0239,Huangnihe,CN,62.94,62.94,87,10000,15.21,33
162,-17.7333,-149.15,Tautira,PF,84.2,84.0,40,10000,9.22,65
163,3.1655,-52.3158,Camopi,GF,71.65,71.65,100,10000,2.1,99
164,-21.2078,-159.775,Avarua,CK,80.6,80.6,75,10000,5.75,89
165,22.5269,-81.1286,Jagüey Grande,CU,77.0,77.0,20,9000,5.75,83
166,27.1467,57.0801,Mīnāb,IR,75.2,75.2,20,5000,4.61,83
167,-42.7826,147.0587,New Norfolk,AU,50.0,43.0,99,10000,1.99,78
168,18.6853,12.9164,Bilma,NE,78.42,78.42,1,10000,9.51,9
169,9.75,-63.1767,Maturin,VE,73.27,73.27,84,10000,4.29,94
170,-22.9575,14.5053,Walvis Bay,NA,75.99,75.99,0,10000,1.99,47
171,47.8043,67.7144,Zhezkazgan,KZ,44.37,44.37,7,10000,22.35,47
172,-4.2714,-81.2147,El Alto,PE,69.57,69.57,76,10000,12.46,80
173,26.6208,-78.2833,High Rock,BS,75.74,75.74,24,10000,19.95,76
174,-20.3297,-40.2925,Vila Velha,BR,73.99,66.2,0,10000,3.44,88
175,37.3667,138.55,Kashiwazaki,JP,59.0,59.0,0,10000,1.99,42
176,40.4272,71.7189,Yangi Marg`ilon,UZ,62.6,62.6,0,10000,4.61,42
177,60.3964,-1.353,Brae,GB,32.0,32.0,84,10000,10.36,86
178,-31.5375,-68.5364,San Juan,AR,50.86,50.86,54,10000,0.81,81
179,37.4636,-122.4286,Half Moon Bay,US,53.6,46.99,1,8047,12.66,87
180,-14.8333,-64.9,La Santisima Trinidad,BO,72.97,72.97,98,10000,3.09,98
181,42.9472,72.7644,Lugovoy,KZ,52.43,52.43,0,10000,5.03,51
182,71.9167,114.0833,Saskylakh,RU,13.82,13.82,100,10000,12.97,72
183,73.5069,80.5464,Dikson,RU,28.94,28.94,100,231,24.2,94
184,-2.5744,150.7967,Kavieng,PG,81.64,81.64,72,9578,13.94,80
185,-22.9661,-42.0278,Arraial do Cabo,BR,74.48,74.48,0,10000,14.5,72
186,-7.6142,-72.8958,Mâncio Lima,BR,72.99,72.99,100,10000,1.77,98
187,-33.0117,17.9442,Saldanha,ZA,59.0,59.0,93,10000,9.48,82
188,70.4692,-68.5914,Clyde River,CA,23.0,23.0,90,10000,12.66,80
189,51.3813,1.3862,Margate,GB,39.99,39.0,86,10000,4.0,79
190,-15.0969,23.1376,Limulunga,ZM,59.81,59.81,0,10000,6.8,65
191,19.2833,-81.25,Bodden Town,KY,80.6,79.0,20,10000,6.91,78
192,-42.7167,170.9667,Hokitika,NZ,62.08,62.08,73,10000,5.99,84
193,-16.0999,167.4164,Lakatoro,VU,83.23,83.23,89,10000,7.11,72
194,67.4667,78.7,Tazovsky,RU,29.37,29.37,100,10000,15.95,92
195,58.8353,125.4869,Nizhniy Kuranakh,RU,15.06,15.06,100,10000,11.7,73
196,-20.2208,-70.1431,Iquique,CL,66.2,66.2,75,10000,3.44,72
197,-9.0744,-44.3586,Bom Jesus,BR,72.01,72.01,61,10000,1.25,66
198,-19.9842,57.6142,Cap Malheureux,MU,81.0,81.0,100,10000,5.99,70
199,64.9555,34.5793,Kem',RU,32.77,32.77,97,10000,16.96,75
200,50.0163,-125.2446,Campbell River,CA,41.0,39.99,20,10000,8.05,48
201,-3.41,-39.0306,Paracuru,BR,82.4,82.4,75,10000,9.22,94
202,-24.0,21.75,Hukuntsi,BW,66.18,66.18,0,10000,6.82,45
203,13.8725,121.9153,Agdangan,PH,84.0,84.0,53,10000,8.01,71
204,50.7214,136.6319,Solnechnyy,RU,49.68,49.68,81,10000,5.23,61
205,-46.1028,168.9436,Gore,NZ,57.99,57.99,100,10000,8.99,86
206,60.7522,-137.5108,Haines Junction,CA,10.4,10.4,95,10000,3.44,31
207,-41.768,-73.1273,Calbuco,CL,51.8,51.8,90,8000,12.66,87
208,41.6667,-2.6667,Soria,ES,44.01,44.01,92,10000,3.22,97
209,-6.1349,12.3689,Soyo,AO,78.3,78.3,100,10000,6.29,86
210,78.2186,15.6401,Longyearbyen,SJ,19.4,19.4,40,10000,14.97,63
211,-45.5752,-72.0662,Coyhaique,CL,44.69,44.69,100,8650,5.97,96
212,58.8053,-122.7002,Fort Nelson,CA,24.8,24.8,75,10000,6.91,46
213,-20.7333,139.5,Mount Isa,AU,86.0,86.0,11,10000,13.8,20
214,60.7167,-46.0333,Qaqortoq,GL,35.6,35.6,75,10000,4.61,75
215,44.1683,132.7669,Rettikhovka,RU,61.39,61.39,98,10000,16.33,35
216,30.7554,20.2263,Ajdabiya,LY,53.67,53.67,1,10000,14.2,42
217,57.5817,83.7692,Molchanovo,RU,41.54,41.54,98,10000,5.68,73
218,36.1199,-80.0736,Kernersville,US,64.4,64.0,90,8047,14.97,94
219,-21.55,167.8833,Tadine,NC,80.69,80.69,99,10000,11.77,85
220,-0.9575,29.7897,Kanungu,UG,59.88,59.88,100,10000,3.24,95
221,6.5833,3.75,Lagos,NG,75.2,75.2,20,10000,2.3,94
222,42.7762,-9.0603,Muros,ES,53.01,51.01,49,10000,4.0,79
223,45.2514,77.9838,Ushtobe,KZ,56.28,56.28,26,10000,16.84,32
224,-20.4081,57.7,Mahébourg,MU,77.0,77.0,75,10000,6.91,78
225,-11.0964,-77.6139,Hualmay,PE,69.21,69.21,100,10000,6.11,86
226,32.6667,-17.1,Ponta do Sol,PT,59.0,50.0,97,10000,3.0,71
227,65.5833,-171.0,Lavrentiya,RU,1.9,1.9,100,10000,24.02,78
228,-3.3333,-79.8167,Pasaje,EC,76.3,76.3,91,10000,1.03,94
229,39.8161,109.9776,Dongsheng,CN,51.13,51.13,97,10000,13.11,66
230,-24.7911,-50.0119,Castro,BR,58.44,58.44,25,10000,2.48,72
231,-17.0,145.4333,Mareeba,AU,90.0,86.0,68,10000,9.22,66
232,-8.103,156.8419,Gizo Government Station,SB,81.84,81.84,100,10000,15.39,79
233,10.2676,13.2644,Mubi,NG,82.24,82.24,49,10000,4.9,40
234,64.8945,-23.7142,Olafsvik,IS,39.2,39.2,100,2066,9.62,96
235,25.6667,85.8333,Dalsingh Sarai,IN,98.2,98.2,2,10000,7.34,4
236,-19.5836,-65.7531,Potosí,BO,49.15,49.15,99,10000,2.26,69
237,-15.8631,-38.8828,Belmonte,BR,73.4,73.4,20,10000,4.61,88
238,33.7333,135.9833,Shingū,JP,62.6,62.6,20,10000,6.91,51
239,-23.5333,148.1667,Emerald,AU,91.99,91.4,5,10000,11.5,22
240,54.7682,-101.865,Flin Flon,CA,32.47,32.47,100,2844,9.44,94
241,10.9995,122.6711,Dingle,PH,86.79,86.79,79,10000,12.01,59
242,-19.0595,-169.9187,Alofi,NU,80.6,80.6,11,10000,5.75,78
243,-27.0964,-52.6183,Chapecó,BR,64.4,64.4,89,10000,2.73,73
244,54.1135,47.6231,Mayna,RU,35.04,35.04,100,130,6.87,99
245,17.4189,121.4443,Tabuk,PH,87.08,87.08,59,10000,3.98,46
246,-21.25,-63.5,Villamontes,BO,73.87,73.87,86,10000,2.59,79
247,-25.1667,45.05,Beloha,MG,70.2,70.2,9,10000,6.15,92
248,-23.5833,148.8833,Blackwater,AU,90.97,90.97,14,10000,7.52,23
249,-20.7377,116.8463,Karratha,AU,86.54,86.54,63,10000,13.49,65
250,60.1432,-45.2371,Nanortalik,GL,34.57,34.57,31,10000,10.18,86
251,-17.4667,16.3333,Eenhana,NA,64.4,64.4,2,10000,5.75,59
252,39.4501,-84.5666,Butler,US,57.0,53.6,20,2816,13.4,100
253,25.5198,90.2201,Tura,IN,87.75,87.75,0,10000,7.43,43
254,-25.2406,130.9889,Yulara,AU,73.4,73.4,0,10000,17.27,33
255,-34.7333,135.8667,Port Lincoln,AU,60.64,60.64,78,10000,12.55,55
256,52.3342,-6.4575,Wexford,IE,33.01,33.01,6,10000,5.01,87
257,32.3502,-85.1999,Russell,US,60.8,57.2,1,8047,4.61,94
258,-33.6971,-53.4616,Chui,UY,69.31,69.31,100,10000,10.67,97
259,-23.65,-70.4,Antofagasta,CL,60.8,60.8,0,10000,4.61,77
260,34.7758,72.3625,Mingora,PK,67.01,67.01,100,10000,6.6,49
261,17.9333,-94.0833,Las Choapas,MX,77.95,77.95,0,10000,4.05,61
